id,time,lat,long,mag,nst,net
hv74696837,5230,19.12883377,-155.4980011,1.93,54,hv
ci40993055,5220,35.3255,-117.8063333,1.16,31,ci
nc75195086,5210,37.4034996,-121.746666,1.44,9,nc
us6000qk2b,5200,-5.9799,149.5326,5,97,us
tx2025loazgo,5190,31.655,-104.446,2.1,25,tx
ci40993039,5180,34.0366667,-117.2428333,1.02,29,ci
tx2025loawpz,5170,31.677,-104.399,2.1,23,tx
nc75195076,5160,38.33616667,-119.383,2.63,45,nc
ci40993031,5150,35.3195,-117.8125,1.1,25,ci
nc75195071,5140,37.48966667,-118.8386667,1.1,24,nc
uw62127826,5130,47.9225,-121.6411667,1.7,22,uw
hv74696767,5120,19.44316667,-154.8955,1.25,20,hv
